"en","zh","g","resource_kind","source_url","source_text","source_version","verified_at","review_status","reviewer"
"tam-sizer","TAM 估算","ZoomInfo 銷售情報 (zoominfo)","外掛型技能","","","","","待逐筆查證",""
"tech-stack-snapshot","技術棧盤點","ZoomInfo 銷售情報 (zoominfo)","外掛型技能","","","","","待逐筆查證",""
"enrich-lead","名單補全","Apollo 開發與名單 (apollo)","外掛型技能","","","","","待逐筆查證",""
"prospect","ICP 開發","Apollo 開發與名單 (apollo)","外掛型技能","","","","","待逐筆查證",""
"sequence-load","序列載入","Apollo 開發與名單 (apollo)","外掛型技能","","","","","待逐筆查證",""
"vibe-prospecting","資料探勘","VPAI 探勘 (vpai)","外掛型技能","","","","","待逐筆查證",""
"add-company","新增公司","Carta CRM 創投 CRM (carta-crm)","外掛型技能","","","","","待逐筆查證",""
"add-contact","新增聯絡人","Carta CRM 創投 CRM (carta-crm)","外掛型技能","","","","","待逐筆查證",""
"add-deal","新增案子","Carta CRM 創投 CRM (carta-crm)","外掛型技能","","","","","待逐筆查證",""
"add-fundraising","新增募資","Carta CRM 創投 CRM (carta-crm)","外掛型技能","","","","","待逐筆查證",""
"add-investor","新增投資人","Carta CRM 創投 CRM (carta-crm)","外掛型技能","","","","","待逐筆查證",""
"add-note","新增備註","Carta CRM 創投 CRM (carta-crm)","外掛型技能","","","","","待逐筆查證",""
"enrich-company","公司補全","Carta CRM 創投 CRM (carta-crm)","外掛型技能","","","","","待逐筆查證",""
"lookup-fund-portfolio","基金投組查找","Carta CRM 創投 CRM (carta-crm)","外掛型技能","","","","","待逐筆查證",""
"search-companies","搜尋公司","Carta CRM 創投 CRM (carta-crm)","外掛型技能","","","","","待逐筆查證",""
"search-contacts","搜尋聯絡人","Carta CRM 創投 CRM (carta-crm)","外掛型技能","","","","","待逐筆查證",""
"search-deals","搜尋案子","Carta CRM 創投 CRM (carta-crm)","外掛型技能","","","","","待逐筆查證",""
"search-fundraisings","搜尋募資","Carta CRM 創投 CRM (carta-crm)","外掛型技能","","","","","待逐筆查證",""
"search-investors","搜尋投資人","Carta CRM 創投 CRM (carta-crm)","外掛型技能","","","","","待逐筆查證",""
"search-notes","搜尋備註","Carta CRM 創投 CRM (carta-crm)","外掛型技能","","","","","待逐筆查證",""
"tutorial","教學導覽","Carta CRM 創投 CRM (carta-crm)","外掛型技能","","","","","待逐筆查證",""
"update-company","更新公司","Carta CRM 創投 CRM (carta-crm)","外掛型技能","","","","","待逐筆查證",""
"update-contact","更新聯絡人","Carta CRM 創投 CRM (carta-crm)","外掛型技能","","","","","待逐筆查證",""
"update-deal","更新案子","Carta CRM 創投 CRM (carta-crm)","外掛型技能","","","","","待逐筆查證",""
"update-fundraising","更新募資","Carta CRM 創投 CRM (carta-crm)","外掛型技能","","","","","待逐筆查證",""
"update-investor","更新投資人","Carta CRM 創投 CRM (carta-crm)","外掛型技能","","","","","待逐筆查證",""
"update-note","更新備註","Carta CRM 創投 CRM (carta-crm)","外掛型技能","","","","","待逐筆查證",""
"channel-digest","多頻道摘要","Slack 團隊協作（Salesforce）(slack-by-salesforce)","外掛型技能","","","","","待逐筆查證",""
"draft-announcement","公告草擬","Slack 團隊協作（Salesforce）(slack-by-salesforce)","外掛型技能","","","","","待逐筆查證",""
"find-discussions","找討論","Slack 團隊協作（Salesforce）(slack-by-salesforce)","外掛型技能","","","","","待逐筆查證",""
"standup","站會更新","Slack 團隊協作（Salesforce）(slack-by-salesforce)","外掛型技能","","","","","待逐筆查證",""
"summarize-channel","頻道摘要","Slack 團隊協作（Salesforce）(slack-by-salesforce)","外掛型技能","","","","","待逐筆查證",""
"slack-messaging","訊息撰寫指南","Slack 團隊協作（Salesforce）(slack-by-salesforce)","外掛型技能","","","","","待逐筆查證",""
"slack-search","Slack 搜尋指南","Slack 團隊協作（Salesforce）(slack-by-salesforce)","外掛型技能","","","","","待逐筆查證",""
"ad-campaign-best-practices","投放最佳實務","Adspirer 廣告投放 (adspirer-ads-agent)","外掛型技能","","","","","待逐筆查證",""
"campaign-performance","廣告成效分析","Adspirer 廣告投放 (adspirer-ads-agent)","外掛型技能","","","","","待逐筆查證",""
"keyword-research","關鍵字研究","Adspirer 廣告投放 (adspirer-ads-agent)","外掛型技能","","","","","待逐筆查證",""
"postiz","社群排程發布","Postiz 社群排程 (postiz)","外掛型技能","","","","","待逐筆查證",""
"business-pulse","營運脈動","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"call-list","致電名單","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"canva-creator","內容素材製作","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"cash-flow-snapshot","現金流快照","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"close-month","月結","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"content-strategy","內容策略","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"contract-review","合約審查","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"crm-cleanup","CRM 清理","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"crm-maintenance","CRM 維護","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"customer-pulse","客戶脈動","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"customer-pulse-check","客戶脈動檢查","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"friday-brief","週五簡報","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"handle-complaint","處理客訴","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"invoice-chase","發票催收","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"job-post-builder","徵才包","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"lead-triage","名單分流","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"margin-analyzer","毛利分析","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"monday-brief","週一簡報","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"month-end-prep","月結準備","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"month-heads-up","月底預警","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"plan-payroll","薪資規劃","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"price-check","價格檢查","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"quarterly-review","季度檢視","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"review-contract","合約審查（深入）","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"run-campaign","跑活動","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"sales-brief","銷售簡報","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"smb-onboard","新手引導","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"smb-router","入口路由","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"tax-prep","報稅準備","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"tax-season-organizer","報稅整理","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"ticket-deflector","客服轉接","Small Business 小型企業營運 (small-business)","外掛型技能","","","","","待逐筆查證",""
"ai-visibility","AI 能見度","SearchFit 搜尋引擎優化 (searchfit-seo)","外掛型技能","","","","","待逐筆查證",""
"broken-links","失連檢查","SearchFit 搜尋引擎優化 (searchfit-seo)","外掛型技能","","","","","待逐筆查證",""
"content-brief","內容 Brief","SearchFit 搜尋引擎優化 (searchfit-seo)","外掛型技能","","","","","待逐筆查證",""
"content-strategy","內容策略","SearchFit 搜尋引擎優化 (searchfit-seo)","外掛型技能","","","","","待逐筆查證",""
"content-translation","內容翻譯在地化","SearchFit 搜尋引擎優化 (searchfit-seo)","外掛型技能","","","","","待逐筆查證",""
"internal-linking","內部連結","SearchFit 搜尋引擎優化 (searchfit-seo)","外掛型技能","","","","","待逐筆查證",""
"keyword-clustering","關鍵字分群","SearchFit 搜尋引擎優化 (searchfit-seo)","外掛型技能","","","","","待逐筆查證",""
"on-page-seo","頁面 SEO","SearchFit 搜尋引擎優化 (searchfit-seo)","外掛型技能","","","","","待逐筆查證",""
"schema-markup","Schema 標記","SearchFit 搜尋引擎優化 (searchfit-seo)","外掛型技能","","","","","待逐筆查證",""
"seo-audit","SEO 稽核","SearchFit 搜尋引擎優化 (searchfit-seo)","外掛型技能","","","","","待逐筆查證",""
"technical-seo","技術 SEO","SearchFit 搜尋引擎優化 (searchfit-seo)","外掛型技能","","","","","待逐筆查證",""
"create-content","產內容（指令）","SearchFit 搜尋引擎優化 (searchfit-seo)","外掛型技能","","","","","待逐筆查證",""
"create-topic","產主題（指令）","SearchFit 搜尋引擎優化 (searchfit-seo)","外掛型技能","","","","","待逐筆查證",""
"generate-schema","產 Schema（指令）","SearchFit 搜尋引擎優化 (searchfit-seo)","外掛型技能","","","","","待逐筆查證",""
"keyword-cluster","關鍵字分群（指令）","SearchFit 搜尋引擎優化 (searchfit-seo)","外掛型技能","","","","","待逐筆查證",""
"seo-check","SEO 快檢（指令）","SearchFit 搜尋引擎優化 (searchfit-seo)","外掛型技能","","","","","待逐筆查證",""
"translate-content","翻譯內容（指令）","SearchFit 搜尋引擎優化 (searchfit-seo)","外掛型技能","","","","","待逐筆查證",""
"accessibility-review","可及性稽核","Design 設計 UX (design)","外掛型技能","","","","","待逐筆查證",""
"design-critique","設計批評","Design 設計 UX (design)","外掛型技能","","","","","待逐筆查證",""
"design-handoff","開發交付規格","Design 設計 UX (design)","外掛型技能","","","","","待逐筆查證",""
"design-system","設計系統","Design 設計 UX (design)","外掛型技能","","","","","待逐筆查證",""
"research-synthesis","研究綜整","Design 設計 UX (design)","外掛型技能","","","","","待逐筆查證",""
"user-research","使用者研究","Design 設計 UX (design)","外掛型技能","","","","","待逐筆查證",""
"ux-copy","UX 文案","Design 設計 UX (design)","外掛型技能","","","","","待逐筆查證",""
"brand-voice-enforcement","品牌語氣套用","Brand Voice 品牌語氣 (brand-voice)","外掛型技能","","","","","待逐筆查證",""
"discover-brand","品牌素材探索","Brand Voice 品牌語氣 (brand-voice)","外掛型技能","","","","","待逐筆查證",""
"enforce-voice","套用語氣（指令）","Brand Voice 品牌語氣 (brand-voice)","外掛型技能","","","","","待逐筆查證",""
"generate-guidelines","產指南（指令）","Brand Voice 品牌語氣 (brand-voice)","外掛型技能","","","","","待逐筆查證",""
"guideline-generation","品牌指南生成","Brand Voice 品牌語氣 (brand-voice)","外掛型技能","","","","","待逐筆查證",""
"figma-code-connect","Code Connect 對映","Figma 設計協作 (figma)","外掛型技能","","","","","待逐筆查證",""
"figma-create-new-file","建新檔","Figma 設計協作 (figma)","外掛型技能","","","","","待逐筆查證",""
"figma-generate-design","從程式產設計","Figma 設計協作 (figma)","外掛型技能","","","","","待逐筆查證",""
"figma-generate-diagram","產圖表","Figma 設計協作 (figma)","外掛型技能","","","","","待逐筆查證",""
"figma-generate-library","產元件庫","Figma 設計協作 (figma)","外掛型技能","","","","","待逐筆查證",""
"figma-swiftui","SwiftUI 互轉","Figma 設計協作 (figma)","外掛型技能","","","","","待逐筆查證",""
"figma-use","操作 Figma","Figma 設計協作 (figma)","外掛型技能","","","","","待逐筆查證",""
"figma-use-figjam","操作 FigJam","Figma 設計協作 (figma)","外掛型技能","","","","","待逐筆查證",""
"figma-use-slides","操作 Slides","Figma 設計協作 (figma)","外掛型技能","","","","","待逐筆查證",""
"miro-browse","瀏覽白板","Miro 白板協作 (miro)","外掛型技能","","","","","待逐筆查證",""
"miro-code-review","視覺化程式碼審查","Miro 白板協作 (miro)","外掛型技能","","","","","待逐筆查證",""
"miro-code-spec","規格擷取","Miro 白板協作 (miro)","外掛型技能","","","","","待逐筆查證",""
"miro-diagram","建圖表","Miro 白板協作 (miro)","外掛型技能","","","","","待逐筆查證",""
"miro-doc","建文件","Miro 白板協作 (miro)","外掛型技能","","","","","待逐筆查證",""
"miro-table","建表格","Miro 白板協作 (miro)","外掛型技能","","","","","待逐筆查證",""
"content-experimentation-best-practices","內容實驗最佳實務","Sanity 無頭內容管理系統 (sanity)","外掛型技能","","","","","待逐筆查證",""
"content-modeling-best-practices","內容建模最佳實務","Sanity 無頭內容管理系統 (sanity)","外掛型技能","","","","","待逐筆查證",""
"portable-text-conversion","Portable Text 轉換","Sanity 無頭內容管理系統 (sanity)","外掛型技能","","","","","待逐筆查證",""
"portable-text-serialization","Portable Text 序列化","Sanity 無頭內容管理系統 (sanity)","外掛型技能","","","","","待逐筆查證",""
"sanity-best-practices","Sanity 最佳實務","Sanity 無頭內容管理系統 (sanity)","外掛型技能","","","","","待逐筆查證",""
"sanity-migration","Sanity 遷移","Sanity 無頭內容管理系統 (sanity)","外掛型技能","","","","","待逐筆查證",""
"seo-aeo-best-practices","SEO/AEO 最佳實務","Sanity 無頭內容管理系統 (sanity)","外掛型技能","","","","","待逐筆查證",""
"deploy-schema","部署 schema（指令）","Sanity 無頭內容管理系統 (sanity)","外掛型技能","","","","","待逐筆查證",""
"sanity-review","程式碼審查（指令）","Sanity 無頭內容管理系統 (sanity)","外掛型技能","","","","","待逐筆查證",""
"sanity","技能列表（指令）","Sanity 無頭內容管理系統 (sanity)","外掛型技能","","","","","待逐筆查證",""
"typegen","TypeGen（指令）","Sanity 無頭內容管理系統 (sanity)","外掛型技能","","","","","待逐筆查證",""
"cloudinary-docs","Cloudinary 文件","Cloudinary 媒體 (cloudinary)","外掛型技能","","","","","待逐筆查證",""
"cloudinary-transformations","轉換 URL","Cloudinary 媒體 (cloudinary)","外掛型技能","","","","","待逐筆查證",""
"adobe-batch-edit-photos","批次調色","Adobe 創意工具 (adobe-for-creativity)","外掛型技能","","","","","待逐筆查證",""
"adobe-create-social-variations","社群尺寸變體","Adobe 創意工具 (adobe-for-creativity)","外掛型技能","","","","","待逐筆查證",""
"adobe-design-from-template","模板設計","Adobe 創意工具 (adobe-for-creativity)","外掛型技能","","","","","待逐筆查證",""
"adobe-edit-quick-cut","影片快剪","Adobe 創意工具 (adobe-for-creativity)","外掛型技能","","","","","待逐筆查證",""
"adobe-resize-photos-and-videos","尺寸調整","Adobe 創意工具 (adobe-for-creativity)","外掛型技能","","","","","待逐筆查證",""
"adobe-retouch-portraits","人像潤飾","Adobe 創意工具 (adobe-for-creativity)","外掛型技能","","","","","待逐筆查證",""
"annotate","協作標註（指令）","PDF 互動檢視器 (pdf-viewer)","外掛型技能","","","","","待逐筆查證",""
"fill-form","填表單（指令）","PDF 互動檢視器 (pdf-viewer)","外掛型技能","","","","","待逐筆查證",""
"open","開啟（指令）","PDF 互動檢視器 (pdf-viewer)","外掛型技能","","","","","待逐筆查證",""
"sign","簽名（指令）","PDF 互動檢視器 (pdf-viewer)","外掛型技能","","","","","待逐筆查證",""
"view-pdf","互動檢視","PDF 互動檢視器 (pdf-viewer)","外掛型技能","","","","","待逐筆查證",""
"architecture","架構決策（ADR）","Engineering 工程 (engineering)","外掛型技能","","","","","待逐筆查證",""
"code-review","程式碼審查","Engineering 工程 (engineering)","外掛型技能","","","","","待逐筆查證",""
"debug","結構化除錯","Engineering 工程 (engineering)","外掛型技能","","","","","待逐筆查證",""
"deploy-checklist","部署檢查","Engineering 工程 (engineering)","外掛型技能","","","","","待逐筆查證",""
"documentation","技術文件","Engineering 工程 (engineering)","外掛型技能","","","","","待逐筆查證",""
"incident-response","事件應變","Engineering 工程 (engineering)","外掛型技能","","","","","待逐筆查證",""
"standup","站會更新","Engineering 工程 (engineering)","外掛型技能","","","","","待逐筆查證",""
"system-design","系統設計","Engineering 工程 (engineering)","外掛型技能","","","","","待逐筆查證",""
"tech-debt","技術債","Engineering 工程 (engineering)","外掛型技能","","","","","待逐筆查證",""
"testing-strategy","測試策略","Engineering 工程 (engineering)","外掛型技能","","","","","待逐筆查證",""
"init","初始化專案記憶","核心開發指令 (commands)","外掛型技能","","","","","待逐筆查證",""
"review","審查 PR","核心開發指令 (commands)","外掛型技能","","","","","待逐筆查證",""
"security-review","安全審查","核心開發指令 (commands)","外掛型技能","","","","","待逐筆查證",""
"qodo-get-rules","載入編碼規則","Qodo 程式品質 (qodo-skills)","外掛型技能","","","","","待逐筆查證",""
"qodo-pr-resolver","PR 留言修復","Qodo 程式品質 (qodo-skills)","外掛型技能","","","","","待逐筆查證",""
"fix-test","修合規測試","Vanta 合規測試 (vanta)","外掛型技能","","","","","待逐筆查證",""
"list-tests","列失敗測試","Vanta 合規測試 (vanta)","外掛型技能","","","","","待逐筆查證",""
"test-remediation","測試修復","Vanta 合規測試 (vanta)","外掛型技能","","","","","待逐筆查證",""
"now-sdk-explain","now-sdk 說明","Fluent ServiceNow 開發工具 (fluent)","外掛型技能","","","","","待逐筆查證",""
"desktop-commander-overview","能力總覽","Desktop Commander 桌面系統操作 (desktop-commander)","外掛型技能","","","","","待逐筆查證",""
"product-tracking-audit-current-tracking","稽核埋點現況","Product Tracking 產品埋點 (product-tracking-skills)","外掛型技能","","","","","待逐筆查證",""
"product-tracking-business-case","埋點商業論證","Product Tracking 產品埋點 (product-tracking-skills)","外掛型技能","","","","","待逐筆查證",""
"product-tracking-design-tracking-plan","設計埋點計畫","Product Tracking 產品埋點 (product-tracking-skills)","外掛型技能","","","","","待逐筆查證",""
"product-tracking-generate-implementation-guide","產實作指南","Product Tracking 產品埋點 (product-tracking-skills)","外掛型技能","","","","","待逐筆查證",""
"product-tracking-implement-tracking","落地埋點程式","Product Tracking 產品埋點 (product-tracking-skills)","外掛型技能","","","","","待逐筆查證",""
"product-tracking-instrument-new-feature","新功能埋點","Product Tracking 產品埋點 (product-tracking-skills)","外掛型技能","","","","","待逐筆查證",""
"product-tracking-model-product","產品建模","Product Tracking 產品埋點 (product-tracking-skills)","外掛型技能","","","","","待逐筆查證",""
"cowork-plugin-customizer","外掛客製","Cowork 外掛管理 (cowork-plugin-management)","外掛型技能","","","","","待逐筆查證",""
"create-cowork-plugin","建立外掛","Cowork 外掛管理 (cowork-plugin-management)","外掛型技能","","","","","待逐筆查證",""
"analyzing-range-distribution","Range 分佈分析","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"analyzing-schema-change-storage-risk","Schema 變更儲存風險","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"auditing-cloud-cluster-security","叢集安全稽核","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"auditing-table-statistics","表統計稽核","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"benchmarking-transaction-patterns","交易模式基準","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"cockroachdb-sql","CockroachDB SQL 資料庫查詢","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"configuring-audit-logging","設定稽核日誌","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"configuring-ip-allowlists","設定 IP 白名單","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"configuring-log-export","設定日誌匯出","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"configuring-private-connectivity","設定私有連線","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"configuring-sso-and-scim","設定 SSO/SCIM","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"designing-application-transactions","設計應用交易","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"designing-multi-region-applications","設計多區域應用","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"enabling-cmek-encryption","啟用 CMEK 加密","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"enforcing-password-policies","強化密碼政策","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"hardening-user-privileges","強化使用者權限","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"managing-certificates-and-encryption","憑證與加密管理","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
